F (Hz)	|Z| (Ohms)	Theta (Deg)
100000	10466	-88.64
200000	5240	-87.2
300000	3511	-86.02
400000	2651	-84.8
500000	2140	-83.67
600000	1800	-82.52
700000	1561	-81.53
800000	1383	-80.62
900000	1250	-79.67
1000000	1137	-79.05
1100000	865.7	-80.52
1200000	819.6	-80.2
1300000	786.7	-79.22
1400000	751.3	-77.98
1500000	717	-78.06
1600000	691.5	-77.22
1700000	669.8	-76.84
1800000	641.7	-76.82
1900000	619.7	-76.23
2000000	599.9	-76.26
2100000	613.5	-76.04
2200000	592.3	-76.04
2300000	573.1	-76.02
2400000	555.4	-76.03
2500000	538.7	-76.09
2600000	523.7	-76.13
2700000	509.2	-76.22
2800000	495.7	-76.34
2900000	482.8	-76.49
3000000	471.1	-76.68
3100000	458.9	-76.94
3200000	446.3	-77.14
3300000	434.2	-77.2
3400000	423.8	-77.23
3500000	415	-77.23
3600000	405.7	-77.34
3700000	396.8	-77.45
3800000	389.1	-77.49
3900000	380.1	-77.69
4000000	373.6	-77.71
4100000	364.8	-77.96
4200000	357.7	-78.04
4300000	351.3	-78.13
4400000	344.7	-78.23
4500000	338.1	-78.37
4600000	331.7	-78.47
4700000	326.4	-78.58
4800000	320.9	-78.63
4900000	315	-78.78
5000000	309.4	-78.9
5100000	304.7	-78.97
5200000	299.3	-79.13
5300000	293.8	-79.21
5400000	289.7	-79.29
5500000	284.6	-79.43
5600000	279.6	-79.58
5700000	275.7	-79.64
5800000	271.4	-79.76
5900000	267.3	-79.83
6000000	262.7	-79.89
6100000	259.3	-80.04
6200000	255.1	-80.14
6300000	255.4	-80.11
6400000	251.5	-80.22
6500000	248	-80.3
6600000	244.5	-80.39
6700000	241	-80.5
6800000	237.7	-80.58
6900000	234.2	-80.7
7000000	231.1	-80.81
7100000	228	-80.89
7200000	224.7	-80.98
7300000	222.2	-81.05
7400000	219.1	-81.15
7500000	216.1	-81.19
7600000	213.5	-81.31
7700000	210.6	-81.38
7800000	208.1	-81.48
7900000	205.6	-81.53
8000000	203	-81.65
8100000	200.6	-81.7
8200000	198.2	-81.78
8300000	195.8	-81.84
8400000	193.4	-81.94
8500000	191.1	-81.99
8600000	188.9	-82.1
8700000	186.7	-82.16
8800000	184.6	-82.24
8900000	182.6	-82.34
9000000	180.6	-82.43
9100000	178.6	-82.49
9200000	177.8	-82.5
9300000	175.7	-82.57
9400000	173.7	-82.62
9500000	171.8	-82.66
9600000	169.9	-82.7
9700000	168.1	-82.74
9800000	166.3	-82.78
9900000	164.6	-82.83
1.00E+07	162.9	-82.88
