F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
100000.000000	2363.000000	100000.000000	-70.580000
200000.000000	1425.000000	200000.000000	-58.500000
300000.000000	1152.000000	300000.000000	-51.960000
400000.000000	844.300000	400000.000000	-58.060000
500000.000000	793.700000	500000.000000	-56.820000
600000.000000	757.200000	600000.000000	-57.080000
700000.000000	719.000000	700000.000000	-57.070000
800000.000000	691.500000	800000.000000	-57.400000
900000.000000	662.700000	900000.000000	-58.190000
1000000.000000	636.000000	1000000.000000	-58.720000
1100000.000000	609.500000	1100000.000000	-59.820000
1200000.000000	587.500000	1200000.000000	-60.250000
1300000.000000	565.400000	1300000.000000	-61.020000
1400000.000000	541.100000	1400000.000000	-62.170000
1500000.000000	525.700000	1500000.000000	-62.860000
1600000.000000	508.700000	1600000.000000	-63.250000
1700000.000000	493.700000	1700000.000000	-63.540000
1800000.000000	477.000000	1800000.000000	-64.160000
1900000.000000	461.100000	1900000.000000	-65.110000
2000000.000000	447.800000	2000000.000000	-65.510000
2100000.000000	452.400000	2100000.000000	-65.810000
2200000.000000	437.100000	2200000.000000	-66.590000
2300000.000000	422.900000	2300000.000000	-67.220000
2400000.000000	408.500000	2400000.000000	-67.990000
2500000.000000	396.000000	2500000.000000	-68.540000
2600000.000000	383.700000	2600000.000000	-69.140000
2700000.000000	372.000000	2700000.000000	-69.720000
2800000.000000	361.200000	2800000.000000	-70.250000
2900000.000000	350.700000	2900000.000000	-70.830000
3000000.000000	340.800000	3000000.000000	-71.440000
3100000.000000	331.500000	3100000.000000	-71.880000
3200000.000000	321.000000	3200000.000000	-72.380000
3300000.000000	311.500000	3300000.000000	-72.640000
3400000.000000	303.400000	3400000.000000	-72.870000
3500000.000000	295.800000	3500000.000000	-73.140000
3600000.000000	288.400000	3600000.000000	-73.430000
3700000.000000	281.500000	3700000.000000	-73.680000
3800000.000000	274.900000	3800000.000000	-73.920000
3900000.000000	268.500000	3900000.000000	-74.190000
4000000.000000	262.600000	4000000.000000	-74.400000
4100000.000000	256.800000	4100000.000000	-74.630000
4200000.000000	250.500000	4200000.000000	-74.910000
4300000.000000	245.600000	4300000.000000	-75.040000
4400000.000000	240.000000	4400000.000000	-75.330000
4500000.000000	235.000000	4500000.000000	-75.500000
4600000.000000	230.300000	4600000.000000	-75.670000
4700000.000000	225.600000	4700000.000000	-75.830000
4800000.000000	221.400000	4800000.000000	-75.990000
4900000.000000	217.000000	4900000.000000	-76.130000
5000000.000000	212.700000	5000000.000000	-76.320000
5100000.000000	208.600000	5100000.000000	-76.450000
5200000.000000	204.700000	5200000.000000	-76.610000
5300000.000000	200.700000	5300000.000000	-76.760000
5400000.000000	197.300000	5400000.000000	-76.860000
5500000.000000	193.600000	5500000.000000	-77.000000
5600000.000000	190.300000	5600000.000000	-77.110000
5700000.000000	187.100000	5700000.000000	-77.190000
5800000.000000	183.900000	5800000.000000	-77.270000
5900000.000000	180.600000	5900000.000000	-77.390000
6000000.000000	177.700000	6000000.000000	-77.480000
6100000.000000	174.500000	6100000.000000	-77.610000
6200000.000000	171.800000	6200000.000000	-77.660000
6300000.000000	170.600000	6300000.000000	-77.610000
6400000.000000	168.000000	6400000.000000	-77.690000
6500000.000000	165.200000	6500000.000000	-77.770000
6600000.000000	162.700000	6600000.000000	-77.860000
6700000.000000	160.200000	6700000.000000	-77.930000
6800000.000000	157.900000	6800000.000000	-78.000000
6900000.000000	155.400000	6900000.000000	-78.080000
7000000.000000	153.000000	7000000.000000	-78.160000
7100000.000000	151.400000	7100000.000000	-78.150000
7200000.000000	149.200000	7200000.000000	-78.200000
7300000.000000	147.100000	7300000.000000	-78.260000
7400000.000000	145.000000	7400000.000000	-78.310000
7500000.000000	143.000000	7500000.000000	-78.360000
7600000.000000	141.000000	7600000.000000	-78.410000
7700000.000000	139.100000	7700000.000000	-78.450000
7800000.000000	137.200000	7800000.000000	-78.490000
7900000.000000	135.400000	7900000.000000	-78.530000
8000000.000000	133.600000	8000000.000000	-78.570000
8100000.000000	131.900000	8100000.000000	-78.610000
8200000.000000	130.100000	8200000.000000	-78.640000
8300000.000000	128.500000	8300000.000000	-78.680000
8400000.000000	126.900000	8400000.000000	-78.710000
8500000.000000	125.300000	8500000.000000	-78.740000
8600000.000000	123.700000	8600000.000000	-78.770000
8700000.000000	122.200000	8700000.000000	-78.800000
8800000.000000	120.700000	8800000.000000	-78.830000
8900000.000000	119.200000	8900000.000000	-78.870000
9000000.000000	117.700000	9000000.000000	-78.910000
9100000.000000	116.300000	9100000.000000	-78.950000
9200000.000000	114.800000	9200000.000000	-78.980000
9300000.000000	113.400000	9300000.000000	-78.980000
9400000.000000	112.100000	9400000.000000	-78.990000
9500000.000000	110.700000	9500000.000000	-78.980000
9600000.000000	109.430000	9600000.000000	-78.980000
9700000.000000	108.160000	9700000.000000	-78.990000
9800000.000000	106.920000	9800000.000000	-78.990000
9900000.000000	105.680000	9900000.000000	-78.990000
1.000000E+7	104.480000	1.000000E+7	-78.990000
