F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
100000.000000	2615.000000	100000.000000	-69.640000
200000.000000	1600.000000	200000.000000	-57.470000
300000.000000	1304.000000	300000.000000	-51.390000
400000.000000	1161.000000	400000.000000	-48.790000
500000.000000	883.700000	500000.000000	-58.010000
600000.000000	837.300000	600000.000000	-57.840000
700000.000000	799.300000	700000.000000	-57.770000
800000.000000	762.600000	800000.000000	-58.050000
900000.000000	721.300000	900000.000000	-58.910000
1000000.000000	692.600000	1000000.000000	-59.540000
1100000.000000	665.900000	1100000.000000	-60.210000
1200000.000000	640.100000	1200000.000000	-60.830000
1300000.000000	616.200000	1300000.000000	-61.570000
1400000.000000	591.400000	1400000.000000	-62.410000
1500000.000000	573.000000	1500000.000000	-62.570000
1600000.000000	554.000000	1600000.000000	-63.050000
1700000.000000	534.200000	1700000.000000	-63.950000
1800000.000000	517.300000	1800000.000000	-64.230000
1900000.000000	503.400000	1900000.000000	-64.720000
2000000.000000	488.500000	2000000.000000	-65.200000
2100000.000000	504.600000	2100000.000000	-64.420000
2200000.000000	488.900000	2200000.000000	-65.000000
2300000.000000	473.400000	2300000.000000	-65.690000
2400000.000000	458.500000	2400000.000000	-66.440000
2500000.000000	445.000000	2500000.000000	-66.990000
2600000.000000	433.400000	2600000.000000	-67.490000
2700000.000000	419.700000	2700000.000000	-68.280000
2800000.000000	408.700000	2800000.000000	-68.880000
2900000.000000	398.500000	2900000.000000	-69.400000
3000000.000000	387.300000	3000000.000000	-70.190000
3100000.000000	375.600000	3100000.000000	-70.890000
3200000.000000	364.000000	3200000.000000	-71.190000
3300000.000000	353.900000	3300000.000000	-71.310000
3400000.000000	345.100000	3400000.000000	-71.520000
3500000.000000	337.000000	3500000.000000	-71.790000
3600000.000000	329.200000	3600000.000000	-72.080000
3700000.000000	321.700000	3700000.000000	-72.370000
3800000.000000	315.000000	3800000.000000	-72.580000
3900000.000000	308.100000	3900000.000000	-72.890000
4000000.000000	301.300000	4000000.000000	-73.190000
4100000.000000	295.500000	4100000.000000	-73.380000
4200000.000000	289.100000	4200000.000000	-73.650000
4300000.000000	283.600000	4300000.000000	-73.850000
4400000.000000	277.100000	4400000.000000	-74.210000
4500000.000000	272.400000	4500000.000000	-74.300000
4600000.000000	267.000000	4600000.000000	-74.580000
4700000.000000	262.000000	4700000.000000	-74.770000
4800000.000000	257.000000	4800000.000000	-74.960000
4900000.000000	252.300000	4900000.000000	-75.200000
5000000.000000	247.900000	5000000.000000	-75.380000
5100000.000000	243.300000	5100000.000000	-75.570000
5200000.000000	239.100000	5200000.000000	-75.740000
5300000.000000	234.700000	5300000.000000	-75.940000
5400000.000000	230.600000	5400000.000000	-76.110000
5500000.000000	226.500000	5500000.000000	-76.280000
5600000.000000	222.900000	5600000.000000	-76.440000
5700000.000000	219.100000	5700000.000000	-76.600000
5800000.000000	215.600000	5800000.000000	-76.780000
5900000.000000	212.300000	5900000.000000	-76.920000
6000000.000000	209.100000	6000000.000000	-77.080000
6100000.000000	205.800000	6100000.000000	-77.210000
6200000.000000	202.700000	6200000.000000	-77.310000
6300000.000000	201.600000	6300000.000000	-77.340000
6400000.000000	198.600000	6400000.000000	-77.470000
6500000.000000	195.700000	6500000.000000	-77.630000
6600000.000000	192.700000	6600000.000000	-77.750000
6700000.000000	190.000000	6700000.000000	-77.890000
6800000.000000	187.100000	6800000.000000	-78.030000
6900000.000000	184.400000	6900000.000000	-78.140000
7000000.000000	181.900000	7000000.000000	-78.280000
7100000.000000	179.300000	7100000.000000	-78.380000
7200000.000000	176.700000	7200000.000000	-78.520000
7300000.000000	174.400000	7300000.000000	-78.600000
7400000.000000	172.000000	7400000.000000	-78.720000
7500000.000000	169.600000	7500000.000000	-78.850000
7600000.000000	167.400000	7600000.000000	-78.960000
7700000.000000	165.300000	7700000.000000	-79.060000
7800000.000000	163.000000	7800000.000000	-79.170000
7900000.000000	161.700000	7900000.000000	-79.180000
8000000.000000	159.600000	8000000.000000	-79.270000
8100000.000000	157.600000	8100000.000000	-79.370000
8200000.000000	155.700000	8200000.000000	-79.470000
8300000.000000	153.800000	8300000.000000	-79.560000
8400000.000000	151.900000	8400000.000000	-79.650000
8500000.000000	150.100000	8500000.000000	-79.750000
8600000.000000	148.300000	8600000.000000	-79.850000
8700000.000000	146.500000	8700000.000000	-79.950000
8800000.000000	144.800000	8800000.000000	-80.060000
8900000.000000	143.100000	8900000.000000	-80.180000
9000000.000000	141.400000	9000000.000000	-80.300000
9100000.000000	139.700000	9100000.000000	-80.440000
9200000.000000	137.900000	9200000.000000	-80.550000
9300000.000000	136.100000	9300000.000000	-80.630000
9400000.000000	134.400000	9400000.000000	-80.660000
9500000.000000	132.800000	9500000.000000	-80.680000
9600000.000000	131.300000	9600000.000000	-80.720000
9700000.000000	129.800000	9700000.000000	-80.750000
9800000.000000	128.300000	9800000.000000	-80.790000
9900000.000000	126.900000	9900000.000000	-80.840000
1.000000E+7	125.500000	1.000000E+7	-80.890000
