F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
100000.000000	2526.000000	100000.000000	-67.850000
200000.000000	1582.000000	200000.000000	-55.510000
300000.000000	1307.000000	300000.000000	-49.760000
400000.000000	1172.000000	400000.000000	-47.520000
500000.000000	894.700000	500000.000000	-57.600000
600000.000000	846.800000	600000.000000	-57.520000
700000.000000	805.200000	700000.000000	-57.880000
800000.000000	765.900000	800000.000000	-58.240000
900000.000000	739.500000	900000.000000	-58.320000
1000000.000000	703.000000	1000000.000000	-59.130000
1100000.000000	674.700000	1100000.000000	-60.160000
1200000.000000	646.300000	1200000.000000	-60.980000
1300000.000000	620.600000	1300000.000000	-62.000000
1400000.000000	597.800000	1400000.000000	-62.940000
1500000.000000	576.000000	1500000.000000	-63.460000
1600000.000000	557.600000	1600000.000000	-63.400000
1700000.000000	536.100000	1700000.000000	-64.160000
1800000.000000	523.600000	1800000.000000	-64.460000
1900000.000000	505.900000	1900000.000000	-65.250000
2000000.000000	492.200000	2000000.000000	-65.230000
2100000.000000	510.600000	2100000.000000	-64.330000
2200000.000000	492.500000	2200000.000000	-65.150000
2300000.000000	477.700000	2300000.000000	-65.730000
2400000.000000	462.700000	2400000.000000	-66.470000
2500000.000000	448.500000	2500000.000000	-67.120000
2600000.000000	436.200000	2600000.000000	-67.630000
2700000.000000	423.000000	2700000.000000	-68.400000
2800000.000000	412.800000	2800000.000000	-68.880000
2900000.000000	401.200000	2900000.000000	-69.560000
3000000.000000	390.100000	3000000.000000	-70.340000
3100000.000000	378.900000	3100000.000000	-70.920000
3200000.000000	365.800000	3200000.000000	-71.360000
3300000.000000	355.700000	3300000.000000	-71.430000
3400000.000000	347.200000	3400000.000000	-71.590000
3500000.000000	338.800000	3500000.000000	-71.900000
3600000.000000	330.900000	3600000.000000	-72.180000
3700000.000000	324.100000	3700000.000000	-72.380000
3800000.000000	316.200000	3800000.000000	-72.740000
3900000.000000	309.200000	3900000.000000	-73.030000
4000000.000000	302.700000	4000000.000000	-73.310000
4100000.000000	296.600000	4100000.000000	-73.540000
4200000.000000	290.900000	4200000.000000	-73.700000
4300000.000000	284.600000	4300000.000000	-74.010000
4400000.000000	279.400000	4400000.000000	-74.170000
4500000.000000	273.500000	4500000.000000	-74.440000
4600000.000000	268.500000	4600000.000000	-74.640000
4700000.000000	263.500000	4700000.000000	-74.830000
4800000.000000	258.900000	4800000.000000	-75.030000
4900000.000000	253.800000	4900000.000000	-75.230000
5000000.000000	249.100000	5000000.000000	-75.450000
5100000.000000	244.500000	5100000.000000	-75.650000
5200000.000000	240.700000	5200000.000000	-75.750000
5300000.000000	236.100000	5300000.000000	-75.990000
5400000.000000	231.900000	5400000.000000	-76.140000
5500000.000000	228.300000	5500000.000000	-76.320000
5600000.000000	224.200000	5600000.000000	-76.520000
5700000.000000	220.800000	5700000.000000	-76.640000
5800000.000000	217.200000	5800000.000000	-76.780000
5900000.000000	213.600000	5900000.000000	-76.950000
6000000.000000	209.900000	6000000.000000	-77.080000
6100000.000000	206.800000	6100000.000000	-77.230000
6200000.000000	203.700000	6200000.000000	-77.380000
6300000.000000	202.800000	6300000.000000	-77.360000
6400000.000000	199.700000	6400000.000000	-77.510000
6500000.000000	196.700000	6500000.000000	-77.660000
6600000.000000	193.700000	6600000.000000	-77.810000
6700000.000000	191.000000	6700000.000000	-77.920000
6800000.000000	188.100000	6800000.000000	-78.060000
6900000.000000	185.500000	6900000.000000	-78.180000
7000000.000000	183.000000	7000000.000000	-78.290000
7100000.000000	180.200000	7100000.000000	-78.420000
7200000.000000	177.800000	7200000.000000	-78.530000
7300000.000000	175.400000	7300000.000000	-78.650000
7400000.000000	173.000000	7400000.000000	-78.770000
7500000.000000	170.600000	7500000.000000	-78.890000
7600000.000000	168.300000	7600000.000000	-78.990000
7700000.000000	166.300000	7700000.000000	-79.090000
7800000.000000	164.000000	7800000.000000	-79.190000
7900000.000000	162.700000	7900000.000000	-79.210000
8000000.000000	160.600000	8000000.000000	-79.310000
8100000.000000	158.600000	8100000.000000	-79.410000
8200000.000000	156.600000	8200000.000000	-79.500000
8300000.000000	154.700000	8300000.000000	-79.600000
8400000.000000	152.800000	8400000.000000	-79.690000
8500000.000000	151.000000	8500000.000000	-79.780000
8600000.000000	149.200000	8600000.000000	-79.890000
8700000.000000	147.400000	8700000.000000	-79.990000
8800000.000000	145.700000	8800000.000000	-80.100000
8900000.000000	144.000000	8900000.000000	-80.220000
9000000.000000	142.300000	9000000.000000	-80.340000
9100000.000000	140.500000	9100000.000000	-80.470000
9200000.000000	138.700000	9200000.000000	-80.590000
9300000.000000	136.900000	9300000.000000	-80.660000
9400000.000000	135.200000	9400000.000000	-80.690000
9500000.000000	133.600000	9500000.000000	-80.720000
9600000.000000	132.100000	9600000.000000	-80.750000
9700000.000000	130.600000	9700000.000000	-80.790000
9800000.000000	129.100000	9800000.000000	-80.830000
9900000.000000	127.700000	9900000.000000	-80.870000
1.000000E+7	126.300000	1.000000E+7	-80.920000
